,LR Model Train,LR Model Test,DTR Model Train,DTR Model Test,MLP Model Train,MLP Model Test,XGBoost Model Train,XGBoost Model Test,XGBoost_LR Model Train,XGBoost_LR Model Test,ADA Model Train,ADA Model Test,ADA_LR Model Train,ADA_LR Model Test,GBR Model Train,GBR Model Test,Bagging Model Train,Bagging Model Test,Bagging_LR Model Train,Bagging_LR Model Test,Bagging_MLP Model Train,Bagging_MLP Model Test,StackedRegressor Model Train,StackedRegressor Model Test
R^2: ,0.9917045935717518,0.9899862965619967,1.0,-0.5238220082248127,0.9389619126123956,0.9457986780201804,0.9999645187833099,-0.4217271186038888,0.9523966659064722,0.3952093655739393,0.9865512750403027,-0.5479292122463887,0.9914995039779354,0.9875437217772525,0.9972177355857358,-0.4810533103872518,0.9975510991567781,-0.47097671606626684,0.9916745024283034,0.9896638930763315,0.9274312722763085,0.9482910144673007,0.9918895267676232,0.9796437753728258
MAE: ,0.5659363517953347,0.8305362136239486,0.0,11.039722798897085,1.3652792603219566,2.0637825457614563,0.0875920025383683,10.260084916899036,1.5203129828007023,7.061145183600163,1.0932156947825855,11.022723741538258,0.5883579512899237,1.0053174292804261,0.44742142818496583,10.457361365760452,0.2875300903680168,10.513184716696076,0.5663103137527564,0.8493830840198949,1.2184301813461762,2.0291121419935605,0.549841721881099,1.384258250200737
MSE: ,0.5553769324730136,1.4594101391332808,0.0,479.1355769023723,3.0543703331138756,8.153971562351604,0.01957823062102241,461.8137920729092,3.98954827060007,127.94745045127902,1.9400857278078043,487.08448654547055,0.5826079248565446,2.2048705445773242,0.33694605448245263,484.620337791209,0.16766979688693082,475.57279760099465,0.556254967695735,1.561663682798375,2.506944702956466,9.215934655752301,0.5365175797785904,4.797351880630959
RMSE: ,0.7440959631862258,1.1271250889596447,0.0,12.732432725015764,1.7156129367725406,2.6439680526103055,0.12106022051344201,11.563342053326979,1.9488417509576288,8.276724390371097,1.360539736492323,12.478562967712008,0.7616820962397085,1.331315346044365,0.5707285438525831,11.798594231357438,0.4087140171726219,11.934061738485418,0.7446968770215836,1.162929494776698,1.5375252838148212,2.5885383843501635,0.7310223863262435,1.7278961812223588
MAPE: ,0.008260133135407906,0.014072642236601235,0.0,0.2205120532665545,0.019693307397520617,0.036183102725052055,0.0013456995748486918,0.21078041204296877,0.02396809922608955,0.1431887594524048,0.01646968330930295,0.22256183677402802,0.008538904291392334,0.017496052014869055,0.006584212513184485,0.2142705751906553,0.004189634560038497,0.21438524276052567,0.008264671392910903,0.014456402543719377,0.017047217599821345,0.03528516283849446,0.00804603490943216,0.026362549043095828
